Carimbo de data/hora;NOME DO CONTRIBUINTE;CPF;Data de Atendimento;Tipo de usuário dos serviços;O atendimento prestado foi conclusivo?;Tipo de Atendimento;Se respondeu outro, especifique aqui;Pontuação;Se houver, quantas folhas foram impressas:;IDADE;SEXO;MUNICÍPIO DE RESIDÊNCIA
11/02/2023 14:11:00;Ana Costa 0;766.616.807-81;11/02/2023;Pessoa Física;Sim;Declaração do IRPF dos anos anteriores;;;3;27;FEMININO;Quatis
29/06/2023 08:03:00;Juliana Ribeiro 1;147.846.964-88;29/06/2023;Pessoa Jurídica;Sim;Outro:;DASN MEI;;0;61;MASCULINO;Quatis
20/11/2023 16:19:00;João Silva 2;420.605.340-48;20/11/2023;Pessoa Jurídica;Sim;Declaração do IRPF dos anos anteriores;;;0;75;FEMININO;Quatis
04/09/2023 12:42:00;Marcos Rocha 3;753.765.596-90;04/09/2023;Pessoa Jurídica;Sim;Declaração de MEI;;;0;60;FEMININO;Porto Real
29/06/2023 14:14:00;Lucas Mendes 4;427.333.397-89;29/06/2023;Pessoa Jurídica;Sim;Abertura de MEI;;;2;50;MASCULINO;Barra Mansa
20/01/2023 13:59:00;Pedro Santos 5;117.702.661-24;20/01/2023;Pessoa Jurídica;Sim;Declaração Anual ou Retificadora e informação sobre IRPF, Emissão de DARF;;;0;31;MASCULINO;Porto Real
04/01/2023 17:45:00;Juliana Ribeiro 6;203.970.345-80;04/01/2023;Pessoa Jurídica;Não;Declaração do IRPF dos anos anteriores;;;10;18;MASCULINO;Porto Real
27/09/2023 11:47:00;João Silva 7;373.912.177-63;27/09/2023;Pessoa Jurídica;Sim;Outro:;Conferência e compensação de multa;;0;32;FEMININO;Quatis
08/01/2023 10:26:00;Pedro Santos 8;488.337.614-76;08/01/2023;Pessoa Física;Não;Declaração Anual ou Retificadora e informação sobre IRPF;;;0;42;MASCULINO;Resende
30/01/2023 12:42:00;Maria Oliveira 9;345.614.718-83;30/01/2023;Pessoa Jurídica;Sim;Compensação de Multa;;;0;27;FEMININO;Barra Mansa
27/09/2023 09:07:00;Fernanda Alves 10;111.152.317-18;27/09/2023;Pessoa Jurídica;Sim;Declaração de MEI;;;2;38;MASCULINO;Quatis
